,goal_name,goal_name_key_pos,goal_weight,goal_words,goal_aver_word_len,goal_verbs_counter,goal_nouns_counter,goal_numr_counter,goal_adj_counter,goal_digit_counter,label_attractor_knowledge,label_attractor_hard_skill,label_attractor_soft_skill,label_attractor_tool,label_attractor_community,label_attractor_subjectivity,label_attractor_habits,label_attractor_career,label_attractor_fixing,label_attractor_art,label_attractor_health
25,повысить уровень знаний возможности компьютера,повысить уровень знание возможность компьютер,1.206,5,8.4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0
70,познание инноваций,познание инновация,0.6429,2,8.5,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
124,fdd,,0.0,1,3.0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0.0
136,знания,знание,0.0123,1,6.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
172,получить больше знаний и умений,получить знание умение,0.0944,5,5.4,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
291,изучить английский язык ,изучить английский язык,0.3102,4,5.25,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
293,изучить английский язык ,изучить английский язык,0.3102,4,5.25,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
343,повышение профессионализма ,повышение профессионализм,0.2778,3,8.33,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
352,приуспеть в учебе,приуспеть учёба,1.125,3,5.0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
362,зарабатывать деньги,зарабатывать деньга,0.7,2,9.0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
365,окончить колледж и дальше поступить на бакалавр ,окончить колледж поступить бакалавр,2.0833,8,5.12,2,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
446,не умереть с голоду,умереть голод,2.0,4,4.0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0.0
471,получение высшего образования,получение высокий образование,0.22599999999999998,3,9.0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
473,приобретение знаний  умений и навыков в оп­ределенной области,приобретение знание умение навык область,0.3061,9,5.89,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0
491,получить новые знания и навыки ,получить новый знание навык,0.0652,6,4.33,1,2,0,1,0,1,1,1,0,1,1,0,0,0,0,0.0
586,сломать стереотип о том  что только специальные образовательные учреждения готовят специалистов,сломать стереотип тот специальный образовательный учреждение готовить специалист,5.8409,12,7.0,2,3,0,3,0,1,1,1,0,0,1,0,0,1,0,0.0
619,узнать что то новое ,узнать новый,0.083,5,3.2,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
621,узнать что то новое,узнать новый,0.083,4,4.0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0.0
631,самореализация,самореализация,0.1111,1,14.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
647,улучшить качество жизни,улучшить качество жизнь,0.2154,3,7.0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
706,выучить иностранный язык,выучить иностранный язык,0.3776,3,7.33,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0.0
737,создать проект который будет нужен человечеству,создать проект который быть нужный человечество,1.5646,6,7.0,2,2,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
756,получить и использовать знания по химии ,получить использовать знание химия,1.3652,7,4.86,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
765,карьерный рост,карьерный рост,0.1726,2,6.5,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0.0
788,ï,,0.0,1,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
860,чтобы сделать свою жизнь насыщеннее  осознаннее,сделать свой жизнь,0.3954,7,5.86,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
880,систематическое повышение своего профессионального уровня,систематический повышение свой профессиональный уровень,1.0877999999999999,5,10.6,0,2,0,3,0,1,1,1,0,0,0,0,0,1,0,0.0
961,как можно больше читать профессиональной литературы,читать профессиональный литература,1.3518,6,7.67,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
981,научиться запускать международные продукты,научиться запускать международный продукт,2.24,4,9.75,2,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
994,стать лучшей версии себя,стать хороший версия,0.6017,4,5.25,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
999,закончить прохождение курсов менеджмент в оразовании до конца декабря 2019,закончить прохождение курс менеджмент оразования конец декабрь 2019,4.6667000000000005,10,6.5,1,6,0,0,4,1,1,1,0,0,0,0,1,0,0,0.0
1017,получить знания,получить знание,0.0319,2,7.0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
1027,учёба ,учёба,0.125,2,2.5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
1068,мультимиллиардером стать,мультимиллиардер стать,1.0303,2,11.5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.0
1102,семья,семья,0.0667,1,5.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
1103,постоянно совершенствоваться,совершенствоваться,1.0,2,13.5,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
1112,получить диплом,получить диплом,0.21960000000000002,2,7.0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0
1124,получить образование,получить образование,0.06309999999999999,2,9.5,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0
1135,овладеть на уровне профессионала прикладным навыком искусство,овладеть уровень профессионал прикладной навык искусство,1.9153,7,7.86,1,4,0,1,0,0,0,0,0,0,1,1,1,0,0,0.0
1190,семья,семья,0.0667,1,5.0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
1298,получение новых знаний,получение новый знание,0.09530000000000001,3,6.67,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
1314,узнать новое,узнать новый,0.083,2,5.5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0
1378,карьерный рост,карьерный рост,0.1726,2,6.5,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
1394,закончить обучение,закончить обучение,0.1714,2,8.5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
1454,семья,семья,0.0667,1,5.0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
1490,вывод своей компании на новый уровень,вывод свой компания новый уровень,1.5531,6,5.33,0,3,0,2,0,1,1,1,1,1,0,1,1,0,0,0.0
1858,получить новые навыки,получить новый навык,0.0529,3,6.33,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
1871,улучшить свои скилы,улучшить свой скил,1.1054,3,5.67,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
1899,получить объективную картину мира ,получить объективный картина мир,2.1446,5,6.0,1,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
1950,развивать гармоничные отношения в семье  способствующие саморазвитию каждого,развивать гармоничный отношение семья саморазвитие каждый,2.2958,9,7.56,1,3,0,2,0,1,1,1,0,0,0,0,0,0,1,0.0
1987,найти новые интересы,найти новый интерес,0.2592,3,6.0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
2098,достигнуть профессионального уровня в написании ios приложений,достигнуть профессиональный уровень написание приложение,1.2455,7,8.0,1,3,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
2102,крепкая семья,крепкий семья,0.5667,2,6.0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0.0
2103,достигнуть профессионального уровня в написании ios приложений,достигнуть профессиональный уровень написание приложение,1.2455,7,8.0,1,3,0,1,0,1,1,1,0,1,1,0,0,0,0,0.0
2170,возможность совмещать с повседневной деятельностью,возможность совмещать повседневный деятельность,1.1736,5,9.2,1,2,0,1,0,1,1,1,0,1,1,0,1,0,0,0.0
2171,получить высшее образование ,получить высокий образование,0.17420000000000002,4,6.25,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0
2176,получение знаний,получение знание,0.08370000000000001,2,7.5,0,2,0,0,0,1,1,1,0,1,1,1,0,1,1,1.0
2248,внедрить проект инженерной школы в следующем учебном году,внедрить проект инженерный школа следующий учебный год,4.7111,8,6.25,1,3,0,3,0,1,1,1,0,0,0,0,0,0,0,0.0
2283,онан,онана,1.0,1,4.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
2303,подольше оставаться нужной и интересной,оставаться нужный интересный,0.6047,5,7.0,1,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0.0
2313,развитие профессиональный навыков в сфере туризма,развитие профессиональный навык сфера туризм,1.1095,6,7.33,0,4,0,1,0,1,0,1,0,0,0,0,1,0,0,0.0
2321,стать эффективным специалистом для цифровой трансформации,стать эффективный специалист цифровой трансформация,1.9545,6,8.67,1,2,0,2,0,1,1,1,0,0,1,1,0,0,0,1.0
2356,стать специалистом в онлайн бизнесе  запустить новые проекты,стать специалист бизнес запустить новый проект,1.3097,9,5.78,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0
2368,м ,м,0.5,2,0.5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
2370,создать нечто  что позволит сделать жизнь людей в мире лучше,создать позволить сделать жизнь человек мир,1.1923000000000001,11,4.55,3,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0
2400,стать одной из лучших в этой сфере,стать один хороший этот сфера,0.6471999999999999,7,4.0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0.0
2424, получить высшее образование,получить высокий образование,0.17420000000000002,4,6.25,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1.0
2432,лучше понимать биологию поведения человека,понимать биология поведение человек,2.5435,5,7.6,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
2483,углубить знания в области медицины и психологии ,углубить знание область медицина психология,1.279,8,5.12,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
2545,овладение определённой компитенции,овладение определённый компитенция,2.25,3,10.67,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0.0
2555,реализовать себя  как  успешного руководителя,реализовать успешный руководитель,0.7262,7,5.57,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0.0
2607,расширение своих знаний  умений и навыков в области психологии и работы с людьми,расширение свой знание умение навык область психология работа человек,0.496,14,4.79,0,8,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
2658,повышение уровня профессиональных компетенций,повышение уровень профессиональный компетенция,0.1321,4,10.5,0,3,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
2706,правовая грамотность,правовой грамотность,1.5,2,9.5,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
2818,машин,машина,0.1667,1,5.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
2960,знания,знание,0.0123,1,6.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
2974,стать министром регионально краевого правительства,стать министр региональный краевой правительство,3.5303,5,9.2,1,2,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
2986,получения знаний,получение знание,0.08370000000000001,2,7.5,0,2,0,0,0,1,1,1,0,0,1,0,1,0,0,0.0
3057,научиться хорошо программировать,научиться программировать,0.24000000000000002,3,10.0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.0
3077,повысить экспертность в области своих знаний,повысить экспертность область свой знание,1.1491,6,6.5,1,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
3125,улучшение резюме,улучшение резюме,1.125,2,7.5,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0.0
3154,идти в ногу со временем,идти нога время,1.0833,5,3.8,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
3259,получение информации для своего проекта,получение информация свой проект,0.29700000000000004,5,7.0,0,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
3261,получение информации для своего проекта,получение информация свой проект,0.29700000000000004,5,7.0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
3293,пройти обучение на трекера в первом полугодии 2020 года,пройти обучение трекер первый полугодие 2020 год,3.0158,9,5.22,1,4,0,1,4,1,1,1,0,0,1,0,0,0,0,0.0
3307,идти в ногу со временем,идти нога время,1.0833,5,3.8,1,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
3391,стать руководителем одно из направлений развития в агенстве стратегических инициатив  платформы нти,стать руководитель один направление развитие агенство стратегический инициатива платформа,4.1708,13,6.69,1,6,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
3394,расширение кругозора,расширение кругозор,0.11929999999999999,2,9.5,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1.0
3457,познание себя,познание,0.1429,2,6.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
3459,интеллектуальное развитие моих детей,интеллектуальный развитие мой ребёнок,0.6167,4,8.25,0,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0.0
3563,повысить квалификацию по направлению косметолог тела,повысить квалификация направление косметолог тело,1.8667,6,7.83,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0.0
3636,счастье,счастие,1.0,1,7.0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0
3657,миллиард долларов на личном счете  ,миллиард доллар личный счёт,2.1111,7,4.14,0,3,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
3747,быть в тренде,быть тренд,0.2717,3,3.67,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
3805,следить за происходящим в мире,следить мир,1.125,5,5.2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.0
3818,карьера,карьера,0.2,1,7.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0
3821,профессия,профессия,0.0667,1,9.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
3876,управленческие способности,управленческий способность,0.4583,2,12.5,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
3929,знания,знание,0.0123,1,6.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0
4020,углубление знаний,углубление знание,0.179,2,8.0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
